code|name|applies_to|active
1000|Material Vivo Vegetal y Animal, Accesorios y Suministros|product|TRUE
1010|Animales vivos|product|TRUE
1011|Productos para animales domésticos|product|TRUE
1012|Comida de animales|product|TRUE
1013|Recipientes y hábitat para animales|product|TRUE
1014|Productos de talabartería y arreo|product|TRUE
1015|Semillas, bulbos, plántulas y esquejes|product|TRUE
1016|Productos de floricultura y silvicultura|product|TRUE
1017|Fertilizantes y nutrientes para plantas y herbicidas|product|TRUE
1019|Productos para el control de plagas|product|TRUE
1020|Rosales vivos|product|TRUE
1021|Plantas vivas de especies o variedades de flores altas|product|TRUE
1022|Plantas vivas de especies o variedades de flores bajas|product|TRUE
1023|Crisantemos vivos|product|TRUE
1024|Claveles vivos|product|TRUE
1025|Orquídeas vivas|product|TRUE
1030|Rosas frescas cortadas|product|TRUE
1031|Bouquets cortados frescos de especies o variedades de flores altas|product|TRUE
1032|Bouquets cortados frescos de especies o variedades de flores bajas|product|TRUE
1033|Crisantemos cortados frescos|product|TRUE
1034|Bouquets florales cortados frescos|product|TRUE
1035|Claveles cortados frescos|product|TRUE
1036|Orquídeas cortadas frescas|product|TRUE
1040|Rosas cortadas secas|product|TRUE
1041|Bouquets cortados secos de especies o variedades de flores altas|product|TRUE
1042|Bouquets cortados secos de especies o variedades de flores bajas|product|TRUE
1043|Crisantemos cortados secos|product|TRUE
1044|Claveles cortados secos|product|TRUE
1045|Orquídeas cortadas secas|product|TRUE
1050|Follaje cortado fresco|product|TRUE
1100|Material Mineral, Textil y Vegetal y Animal No Comestible|product|TRUE
1110|Minerales, minerales metálicos y metales|product|TRUE
1111|Tierra y piedra|product|TRUE
1112|Productos no comestibles de planta y silvicultura|product|TRUE
1113|Productos animales no comestibles|product|TRUE
1114|Chatarra y materiales de desecho|product|TRUE
1115|Fibra, hilos e hilados|product|TRUE
1116|Tejidos y materiales de cuero|product|TRUE
1117|Aleaciones|product|TRUE
1118|Óxido metálico|product|TRUE
1119|Desechos metálicos y chatarra|product|TRUE
1200|Material Químico incluyendo Bioquímicos y Materiales de Gas|product|TRUE
1213|Materiales explosivos|product|TRUE
1214|Elementos y gases|product|TRUE
1216|Aditivos|product|TRUE
1217|Colorantes|product|TRUE
1218|Ceras y aceites|product|TRUE
1219|Solventes|product|TRUE
1235|Compuestos y mezclas|product|TRUE
1300|Materiales de Resina, Colofonia, Caucho, Espuma, Película y Elastómericos|product|TRUE
1310|Caucho y elastómeros|product|TRUE
1311|Resinas y colofonias y otros materiales derivados de resina|product|TRUE
1400|Materiales y Productos de Papel|product|TRUE
1410|Materiales de papel|product|TRUE
1411|Productos de papel|product|TRUE
1412|Papel para uso industrial|product|TRUE
